epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,2739.62,1.21346,1.11192,1.28877,0.81729,0.66796,0.73513,0.30717,1.59215,1.25994,1.72196,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625
51,2793.77,1.2197,1.13174,1.28505,0.82598,0.68137,0.74942,0.31566,1.58466,1.25985,1.71208,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
52,2848.04,1.17844,1.09003,1.26354,0.76248,0.68767,0.74055,0.30621,1.61447,1.26342,1.74999,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875
53,2902.43,1.20423,1.12043,1.27794,0.79905,0.68499,0.74345,0.3248,1.57316,1.25374,1.71144,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
54,2957.03,1.17586,1.08417,1.26247,0.82473,0.67331,0.74659,0.31138,1.58662,1.2388,1.7166,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125
55,3011.54,1.19512,1.10143,1.26705,0.77371,0.68983,0.73926,0.3084,1.57039,1.22863,1.70781,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175
56,3066.21,1.16945,1.07152,1.25597,0.86632,0.64959,0.74418,0.31273,1.59483,1.22927,1.72379,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375
57,3120.5,1.16773,1.06843,1.25224,0.80614,0.68406,0.75005,0.32094,1.58,1.21897,1.71351,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557
58,3175.16,1.17272,1.07098,1.26299,0.81512,0.67037,0.74449,0.31752,1.58496,1.23284,1.71633,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625
59,3229.56,1.15549,1.05795,1.24691,0.77658,0.71155,0.7545,0.33114,1.51394,1.18522,1.69667,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
