epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,45736.1,0.76311,0.5888,0.00536,0.80156,0.76814,0.83098,0.65626,0.72002,0.64379,0.00826,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,46361.8,0.7599,0.58232,0.00532,0.80078,0.76847,0.83091,0.65587,0.71915,0.64284,0.00824,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,46986.6,0.75068,0.57596,0.00525,0.81407,0.76455,0.83236,0.65716,0.71855,0.64189,0.00823,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,47612.7,0.74714,0.56961,0.00523,0.81511,0.76194,0.8321,0.65658,0.71752,0.64067,0.0082,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,48237.4,0.74639,0.56803,0.00519,0.82325,0.75532,0.83234,0.65679,0.71723,0.63893,0.00821,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,48863.5,0.74123,0.55615,0.00515,0.80942,0.76741,0.8334,0.65699,0.71693,0.63698,0.00821,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,49489.8,0.73369,0.547,0.00511,0.82557,0.75483,0.83411,0.65787,0.71632,0.63538,0.0082,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,50116,0.73046,0.54628,0.00507,0.81773,0.76588,0.83423,0.65792,0.71536,0.63568,0.00819,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,50742.8,0.72666,0.54062,0.00501,0.83801,0.76008,0.83559,0.65922,0.71541,0.63399,0.00819,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,51369.1,0.7237,0.53483,0.00499,0.8339,0.75539,0.83502,0.65885,0.71431,0.63336,0.00818,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,51995.2,0.71881,0.52818,0.00494,0.83248,0.76123,0.83651,0.65984,0.71382,0.6318,0.00817,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,52620.8,0.71385,0.52159,0.00496,0.83401,0.75865,0.83747,0.66039,0.71327,0.63031,0.00816,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,53246.7,0.70772,0.51521,0.00485,0.83575,0.75911,0.83814,0.66134,0.7126,0.62999,0.00815,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,53872.6,0.70503,0.51111,0.00483,0.83152,0.7673,0.83928,0.6615,0.71225,0.62893,0.00815,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,54497.7,0.7011,0.505,0.0048,0.82869,0.76866,0.83809,0.66025,0.71201,0.62799,0.00815,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,55123.1,0.69744,0.50002,0.00476,0.82649,0.76796,0.83696,0.65965,0.71182,0.6263,0.00815,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,55746.5,0.69231,0.49327,0.00474,0.8326,0.76604,0.83846,0.66134,0.71125,0.62481,0.00814,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,56370.9,0.69172,0.49015,0.00472,0.84271,0.76239,0.83903,0.66207,0.71102,0.62402,0.00813,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,57076.2,0.65948,0.39351,0.00522,0.84341,0.76194,0.83974,0.66241,0.71063,0.62332,0.00813,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,57692.1,0.64445,0.37309,0.00503,0.84388,0.76278,0.84096,0.66373,0.71004,0.62237,0.00813,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,58308.8,0.63641,0.3664,0.00494,0.84587,0.76046,0.84099,0.66488,0.7098,0.62138,0.00812,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,58926.1,0.62806,0.35699,0.00487,0.8439,0.76047,0.84116,0.66466,0.70909,0.62147,0.00811,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,59542.4,0.62355,0.34733,0.0048,0.85106,0.75934,0.84121,0.66575,0.70897,0.62102,0.00811,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,60159.9,0.6159,0.34368,0.00474,0.84118,0.76312,0.84178,0.66738,0.70829,0.622,0.0081,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,60777.1,0.61165,0.33813,0.00467,0.8471,0.7596,0.84188,0.66761,0.70861,0.62087,0.0081,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,61393.1,0.60905,0.33454,0.00466,0.85114,0.75983,0.8417,0.66779,0.70854,0.62058,0.00811,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,62010.2,0.60399,0.32885,0.00462,0.85177,0.75942,0.84351,0.67049,0.70832,0.62093,0.00811,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,62626.4,0.59936,0.32516,0.00457,0.84862,0.76695,0.84397,0.67142,0.70814,0.62188,0.00811,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
